annual_healthcare_expenditure_per_capita,gdp_per_capita_worldbank,nurses_and_midwives_per_1000_people,physicians_per_1000_people,prevalence_of_undernourishment,share_of_population_urban,share_without_improved_water,vaccination_coverage_who_unicef,years_of_schooling,world_regions_wb,world_income_group,Entity
661.3089,12525.081,4.314,1.285,4.4,55.387,2.984398,99.0,9.79798,Europe and Central Asia (WB),Upper-middle-income countries,Albania
720.8271,12832.212,,,4.5,56.423,2.9793777,99.0,9.76596,Europe and Central Asia (WB),Upper-middle-income countries,Albania
748.9791,13156.332,,,4.4,57.434,2.9792938,99.0,9.73394,Europe and Central Asia (WB),Upper-middle-income countries,Albania
806.71594,13692.479,3.656,1.219,4.3,58.421,2.983963,99.0,9.70192,Europe and Central Asia (WB),Upper-middle-income countries,Albania
832.9514,14155.04,,,4.3,59.383,2.9932556,99.0,9.6699,Europe and Central Asia (WB),Upper-middle-income countries,Albania
891.45447,14710.982,,,4.2,60.319,3.007019,99.0,9.71709,Europe and Central Asia (WB),Upper-middle-income countries,Albania
801.44775,14778.191,,,2.9,69.576,1.8001556,95.0,5.40406,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
867.79114,15073.763,,,2.7,70.221,1.6144638,95.0,5.58609,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
853.50793,15239.518,,,2.6,70.848,1.432663,95.0,5.76812,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
782.1357,15511.686,2.255,1.842,2.6,71.459,1.25457,91.0,5.95015,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
773.79047,15427.664,2.237,,2.5,72.052,1.0800934,91.0,6.13218,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
781.5744,15343.426,1.559,1.732,2.5,72.629,0.90905,91.0,6.31421,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Algeria
3269.7207,57332.16,,,,88.537,0.0,96.0,10.5625,Europe and Central Asia (WB),High-income countries,Andorra
3427.4148,59929.246,,,,88.441,0.0,97.0,10.59,Europe and Central Asia (WB),High-income countries,Andorra
3683.3738,62105.152,4.365,3.626,,88.345,0.0,97.0,10.51,Europe and Central Asia (WB),High-income countries,Andorra
3595.246,64402.81,,,,88.248,7.6293945e-06,98.0,10.49,Europe and Central Asia (WB),High-income countries,Andorra
3718.592,63239.656,,,,88.15,0.0,99.0,10.661667,Europe and Central Asia (WB),High-income countries,Andorra
4036.9253,63048.598,,,,88.062,7.6293945e-06,99.0,10.833333,Europe and Central Asia (WB),High-income countries,Andorra
208.74652,10150.916,,,13.2,62.002,34.49008,54.0,3.0687406,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
197.48933,10250.593,,,13.0,62.731,34.396584,55.0,3.13,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
189.3454,9980.93,,,14.0,63.446,34.314453,57.0,4.11691,Sub-Saharan Africa (WB),Upper-middle-income countries,Angola
1951.5256,29227.66,4.2463,3.9385,3.1,91.249,1.1358032,94.0,11.01,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
1887.9878,28200.814,,,2.8,91.377,1.0767517,94.0,11.08,Latin America and Caribbean (WB),High-income countries,Argentina
2040.3066,28669.207,,3.973,2.8,91.503,1.0176926,94.0,11.08,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
1987.3296,27802.105,2.573,3.987,3.0,91.627,0.9586258,92.0,11.06,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
2401.0913,28334.904,2.593,3.979,3.4,91.749,,88.0,11.18,Latin America and Caribbean (WB),High-income countries,Argentina
2388.695,27367.115,,,3.5,91.87,,86.0,11.3,Latin America and Caribbean (WB),Upper-middle-income countries,Argentina
4160.105,54699.35,12.01,3.374,2.5,85.502,0.090408325,91.0,12.04,East Asia and Pacific (WB),High-income countries,Australia
4657.6445,55288.117,12.18,3.45,2.5,85.602,0.038520813,92.0,12.13,East Asia and Pacific (WB),High-income countries,Australia
4782.245,55691.7,12.26,3.505,2.5,85.701,0.02999878,93.0,12.24,East Asia and Pacific (WB),High-income countries,Australia
5031.326,56341.52,12.44,3.577,2.5,85.8,0.030036926,94.0,12.36,East Asia and Pacific (WB),High-income countries,Australia
5104.522,56684.65,12.76,3.677,2.5,85.904,0.030059814,95.0,12.35,East Asia and Pacific (WB),High-income countries,Australia
5306.7617,57450.383,12.98,3.747,2.5,86.012,0.03010559,95.0,12.52,East Asia and Pacific (WB),High-income countries,Australia
549.32074,20398.646,6.484,3.373,2.5,54.145,8.027779,78.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
619.4754,20709.201,6.278,3.362,2.5,54.422,7.2230225,78.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
641.63995,20678.754,6.08,3.291,2.5,54.714,6.4234543,79.0,10.24,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
628.42096,19822.41,5.896,3.227,2.5,55.021,5.6296616,78.0,10.32,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
568.69617,19659.004,5.654,3.164,2.5,55.343,4.842201,76.0,10.3,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
552.7119,19781.852,5.732,3.2,2.5,55.68,4.061661,74.0,10.29,Europe and Central Asia (WB),Upper-middle-income countries,Azerbaijan
2320.7358,55376.402,2.61,0.994,,88.835,0.06653595,99.0,8.46,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
2294.7542,55065.82,2.54,0.976,,88.915,0.068473816,99.0,8.62,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
2271.8193,54149.914,2.512,0.932,,88.999,0.07041168,98.0,8.78,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
2170.1375,54107.074,2.346,0.842,,89.09,0.07234955,99.0,8.94,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
2170.3638,53859.773,,,,89.186,0.074287415,97.0,9.13,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
2054.2983,54893.074,,,,89.287,0.07622528,99.0,10.38,"Middle East, North Africa, Afghanistan and Pakistan (WB)",High-income countries,Bahrain
1161.5951,18695.684,,,2.5,31.429,1.278122,91.0,9.929263,Latin America and Caribbean (WB),High-income countries,Barbados
1081.8036,18665.178,,,2.5,31.328,1.2680893,94.0,9.966622,Latin America and Caribbean (WB),High-income countries,Barbados
1083.7604,18464.664,,,2.5,31.249,1.2580643,97.0,10.003982,Latin America and Caribbean (WB),High-income countries,Barbados
1114.8807,18754.666,,,2.5,31.193,1.2480316,97.0,10.072474,Latin America and Caribbean (WB),High-income countries,Barbados
1073.083,18740.35,,2.55,2.5,31.159,1.2380066,90.0,10.140965,Latin America and Caribbean (WB),High-income countries,Barbados
1052.7721,18484.697,3.136,,2.5,31.147,1.2279739,95.0,10.209457,Latin America and Caribbean (WB),High-income countries,Barbados
1079.4133,26147.625,10.55,4.719,2.5,76.199,0.4434433,98.0,11.496,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
1021.5204,26564.436,10.69,4.877,2.5,76.693,0.45526123,97.0,11.6050005,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
1094.5222,25513.213,10.71,5.051,2.5,77.181,0.4664154,99.0,11.714,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
1047.9604,24846.83,10.65,4.277,2.5,77.661,0.47695923,98.0,11.823,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
1053.1659,25503.98,10.67,4.33,2.5,78.134,0.4868927,97.0,11.932,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
1069.2728,26363.463,10.7,4.386,2.5,78.595,0.49630737,97.0,12.040999,Europe and Central Asia (WB),Upper-middle-income countries,Belarus
882.04285,16369.425,,,20.8,65.572,3.1617126,95.0,9.43,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
877.4573,17052.193,,,20.0,66.368,3.112564,95.0,9.68,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
856.91724,15994.964,,,20.3,67.155,3.068039,95.0,9.93,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
927.6252,16905.588,3.778,0.353,20.9,67.933,3.0280533,95.0,10.016,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
1029.639,17352.896,,,22.0,68.7,2.99263,95.0,10.102,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
986.7235,17825.02,3.119,0.377,22.0,69.446,2.9620743,95.0,10.188,Sub-Saharan Africa (WB),Upper-middle-income countries,Botswana
1259.4738,19241.506,7.538,1.876,2.6,85.209,2.108017,97.0,7.48,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1337.4688,19183.172,8.758,,2.5,85.492,1.8594894,93.0,7.58,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1331.8104,18357.068,9.076,,2.5,85.77,1.6169357,96.0,7.7,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1326.0924,17620.928,9.32,,2.5,86.042,1.4699097,89.0,7.91,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1396.6995,17724.48,9.706,2.158,2.5,86.309,1.1492691,83.0,8.05,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1444.8805,17917.75,10.09,,2.5,86.569,0.9238739,87.0,8.18,Latin America and Caribbean (WB),Upper-middle-income countries,Brazil
1564.3124,86606.65,7.399,1.593,,75.997,0.09996796,99.0,8.786,East Asia and Pacific (WB),High-income countries,Brunei
1531.711,83310.62,6.192,1.486,,76.332,0.09996796,99.0,8.888,East Asia and Pacific (WB),High-income countries,Brunei
1467.0972,81910.19,6.54,1.754,,76.663,0.09996033,99.0,8.99,East Asia and Pacific (WB),High-income countries,Brunei
1408.5338,78880.625,6.378,,,76.99,0.09996033,99.0,9.038,East Asia and Pacific (WB),High-income countries,Brunei
1358.2114,78966.87,6.017,1.587,,77.312,0.09996033,99.0,9.086,East Asia and Pacific (WB),High-income countries,Brunei
1462.0198,78099.05,6.535,1.778,,77.629,0.09996033,99.0,9.134,East Asia and Pacific (WB),High-income countries,Brunei
1185.871,22945.514,4.808,3.864,4.1,73.313,0.6715164,95.0,11.04,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
1349.4175,23446.406,4.772,3.898,4.1,73.651,0.70388794,88.0,11.12,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
1354.8236,24553.145,4.743,3.968,4.0,73.99,0.7355423,91.0,11.26,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
1491.4122,25626.824,4.724,4.04,4.1,74.329,0.76649475,92.0,11.32,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
1602.6685,26681.43,4.756,4.122,3.4,74.669,0.79673004,92.0,11.33,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
1680.7957,27739.502,4.741,4.162,3.0,75.008,0.82627106,92.0,11.39,Europe and Central Asia (WB),Upper-middle-income countries,Bulgaria
4597.034,54712.18,9.575,2.4509,2.5,81.178,0.7673111,91.0,13.648,North America (WB),High-income countries,Canada
4679.8994,55723.484,9.854,2.4961,2.5,81.218,0.7690201,91.0,13.692,North America (WB),High-income countries,Canada
4775.611,55660.867,9.935,2.5388,2.5,81.259,0.7707825,91.0,13.736,North America (WB),High-income countries,Canada
5105.8125,55606.156,9.993,2.3105,2.5,81.3,0.7726059,91.0,13.78,North America (WB),High-income countries,Canada
5245.3164,56612.33,10.04,2.6102,2.5,81.35,0.77446747,91.0,13.811999,North America (WB),High-income countries,Canada
5437.048,57337.492,9.997,2.428,2.5,81.411,0.7763672,91.0,13.844,North America (WB),High-income countries,Canada
1659.6466,27291.357,2.174,1.887,3.4,87.246,0.95961,91.0,9.88,Latin America and Caribbean (WB),High-income countries,Chile
1768.5422,27505.049,9.403,2.036,3.3,87.303,0.7257538,95.0,10.0,Latin America and Caribbean (WB),High-income countries,Chile
1876.4171,27811.375,10.9,2.159,3.3,87.36,0.4935074,96.0,10.12,Latin America and Caribbean (WB),High-income countries,Chile
1990.2151,27958.729,11.28,2.31,3.2,87.422,0.26280975,95.0,10.299999,Latin America and Caribbean (WB),High-income countries,Chile
2208.5618,27892.994,12.4,2.455,3.1,87.49,0.034553528,93.0,10.48,Latin America and Caribbean (WB),High-income countries,Chile
2315.518,28492.662,13.34,2.595,3.0,87.564,0.0,95.0,10.657816,Latin America and Caribbean (WB),High-income countries,Chile
556.532,13080.829,2.023,1.661,2.5,53.013,7.8691025,99.0,6.7425036,East Asia and Pacific (WB),Upper-middle-income countries,China
592.1189,13968.581,2.169,1.715,2.5,54.259,7.0685043,99.0,6.780005,East Asia and Pacific (WB),Upper-middle-income countries,China
632.44714,14856.78,2.326,1.8,2.5,55.5,6.30175,99.0,6.8175063,East Asia and Pacific (WB),Upper-middle-income countries,China
663.267,15772.765,2.502,1.891,2.5,56.736,5.568634,99.0,6.855007,East Asia and Pacific (WB),Upper-middle-income countries,China
710.703,16757.973,2.697,2.006,2.5,57.96,4.8695374,99.0,6.8925085,East Asia and Pacific (WB),Upper-middle-income countries,China
788.72144,17806.791,2.892,2.124,2.5,59.152,4.205345,99.0,6.93001,East Asia and Pacific (WB),Upper-middle-income countries,China
1420.102,28401.686,6.13,2.995,2.5,55.706,,96.0,10.884212,Europe and Central Asia (WB),High-income countries,Croatia
1475.1685,28460.73,6.101,3.105,2.5,55.923,,95.0,11.024666,Europe and Central Asia (WB),High-income countries,Croatia
1553.3097,29471.752,6.16,3.156,2.5,56.155,,94.0,11.056058,Europe and Central Asia (WB),High-income countries,Croatia
1692.2312,30824.86,6.652,6.394,2.5,56.403,,93.0,11.19913,Europe and Central Asia (WB),Upper-middle-income countries,Croatia
1798.329,32351.873,6.854,6.624,2.5,56.667,,92.0,11.301269,Europe and Central Asia (WB),High-income countries,Croatia
1943.0848,33730.875,6.939,6.766,2.5,56.947,,93.0,11.464317,Europe and Central Asia (WB),High-income countries,Croatia
2225.8323,,8.07,7.393,2.5,76.827,3.5027542,99.0,11.384333,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
2711.5532,,8.011,7.551,2.5,76.861,3.3816452,99.0,11.278666,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
3194.384,,7.937,7.759,2.5,76.896,3.2608948,99.0,11.172998,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
2509.01,,7.853,7.949,2.5,76.93,3.1406097,99.0,11.067331,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
2486.272,,7.731,8.123,2.5,76.977,3.0201797,99.0,10.961664,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
2506.443,,7.568,8.429,2.5,77.037,2.8998566,99.0,10.855997,Latin America and Caribbean (WB),Upper-middle-income countries,Cuba
2309.5388,39317.555,8.41,3.688,2.5,73.29,0.12589264,98.0,12.35,Europe and Central Asia (WB),High-income countries,Czechia
2471.6316,40158.016,8.347,3.9345,2.5,73.384,0.11998749,97.0,12.4,Europe and Central Asia (WB),High-income countries,Czechia
2488.4006,42066.574,8.433,3.9516,2.5,73.477,0.119903564,97.0,12.47,Europe and Central Asia (WB),High-income countries,Czechia
2671.8787,43069.465,8.331,4.0194,2.5,73.57,0.11982727,96.0,12.53,Europe and Central Asia (WB),High-income countries,Czechia
2853.6086,45177.523,8.928,4.0676,2.5,73.675,0.11974335,96.0,12.59,Europe and Central Asia (WB),High-income countries,Czechia
3075.2056,46301.082,8.989,4.074,2.5,73.792,0.119644165,97.0,12.650001,Europe and Central Asia (WB),High-income countries,Czechia
4837.0903,60583.406,10.26,3.842,2.5,87.292,0.0,94.0,12.9,Europe and Central Asia (WB),High-income countries,Denmark
4952.499,61047.332,10.25,3.872,2.5,87.41,0.0,94.0,12.21,Europe and Central Asia (WB),High-income countries,Denmark
5094.6133,61893.246,10.26,3.934,2.5,87.526,0.0,93.0,12.78,Europe and Central Asia (WB),High-income countries,Denmark
5347.7637,63299.336,10.33,4.014,2.5,87.642,0.0,94.0,13.32,Europe and Central Asia (WB),High-income countries,Denmark
5605.8228,64815.73,10.43,4.129,2.5,87.757,0.0,98.0,13.2,Europe and Central Asia (WB),High-income countries,Denmark
5816.9194,65694.76,10.51,4.215,2.5,87.874,0.0,97.0,13.08,Europe and Central Asia (WB),High-income countries,Denmark
552.53687,17282.637,6.817,,6.1,68.982,4.5793457,97.0,9.159476,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
580.02576,17520.855,6.931,,6.4,69.28,4.5793457,97.0,9.266099,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
581.07056,16920.912,6.814,,7.0,69.579,4.5793457,98.0,9.372722,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
627.2126,17364.078,6.805,,8.0,69.88,4.5793457,99.0,9.479345,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
646.23126,16314.2295,6.193,1.136,9.4,70.181,4.5793457,91.0,9.585968,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
779.71155,16877.125,6.511,1.116,10.1,70.483,,94.0,9.692591,Latin America and Caribbean (WB),Upper-middle-income countries,Dominica
604.85614,16054.768,1.24,,9.2,76.749,3.4050064,83.0,7.73,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
637.05115,16993.588,1.249,,8.4,77.67,3.3180466,91.0,7.88,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
685.86993,17973.188,1.248,,7.4,78.566,3.2356873,85.0,8.02,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
726.5498,18968.975,1.104,,6.7,79.436,3.1578827,87.0,9.31,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
741.14417,19501.875,1.125,,6.0,80.277,3.0847244,84.0,9.287924,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
737.60846,20662.848,1.292,1.429,5.8,81.074,3.0170822,87.0,9.265846,Latin America and Caribbean (WB),Upper-middle-income countries,Dominican Republic
762.6796,13689.152,1.944,1.654,8.2,63.125,8.034485,87.0,8.18,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
796.08466,14064.799,2.192,1.692,8.2,63.261,7.3851547,83.0,8.27,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
838.34344,13881.57,2.515,1.814,8.5,63.398,6.736458,78.0,8.63,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
817.6135,13586.516,2.863,2.064,9.1,63.534,6.08873,83.0,8.64,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
877.0139,14179.153,2.842,2.234,10.1,63.67,5.586464,85.0,8.71,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
928.4782,14083.507,2.516,2.345,11.1,63.821,5.2693024,85.0,8.74,Latin America and Caribbean (WB),Upper-middle-income countries,Ecuador
456.37714,32894.37,,,,69.544,33.417557,53.0,,Sub-Saharan Africa (WB),High-income countries,Equatorial Guinea
473.84772,31765.9,,,,70.083,33.150528,53.0,,Sub-Saharan Africa (WB),High-income countries,Equatorial Guinea
452.2891,27797.795,,,,70.616,32.886467,40.0,,Sub-Saharan Africa (WB),Upper-middle-income countries,Equatorial Guinea
471.34955,24435.064,,,,71.138,32.62786,53.0,,Sub-Saharan Africa (WB),Upper-middle-income countries,Equatorial Guinea
500.39984,22250.44,0.437,0.35,,71.646,32.376183,56.0,,Sub-Saharan Africa (WB),Upper-middle-income countries,Equatorial Guinea
482.1795,20165.48,0.27,,,72.143,,59.0,,Sub-Saharan Africa (WB),Upper-middle-income countries,Equatorial Guinea
1722.0983,34838.363,5.963,3.335,2.5,68.122,0.45620728,94.0,13.92,Europe and Central Asia (WB),High-income countries,Estonia
1839.7273,36090.492,6.081,3.361,2.5,68.269,0.2818756,93.0,13.93,Europe and Central Asia (WB),High-income countries,Estonia
1938.4668,36729.81,6.355,3.417,2.5,68.416,0.108810425,93.0,13.96,Europe and Central Asia (WB),High-income countries,Estonia
2098.4634,37854.844,6.436,3.456,2.5,68.563,0.08476257,93.0,13.95,Europe and Central Asia (WB),High-income countries,Estonia
2234.2908,39939.457,6.537,3.468,2.5,68.717,0.06085205,93.0,14.01,Europe and Central Asia (WB),High-income countries,Estonia
2441.5564,41273.2,6.636,3.483,2.5,68.88,0.036842346,92.0,14.14,Europe and Central Asia (WB),High-income countries,Estonia
312.29663,11019.299,2.751,0.773,7.1,53.706,4.0316544,99.0,10.102,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
360.93036,11621.13,,,6.9,54.216,4.0025406,99.0,10.249,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
390.22943,12131.092,2.858,0.814,7.1,54.726,3.9730453,99.0,10.396,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
393.21332,12419.826,,,7.5,55.235,3.9432297,95.0,10.542999,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
408.74185,13090.501,,,7.2,55.742,3.9131622,91.0,10.69,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
560.7882,13612.952,3.245,,6.3,56.248,3.882782,94.0,10.62586,East Asia and Pacific (WB),Upper-middle-income countries,Fiji
4068.4858,53183.43,19.07,3.335,2.5,85.125,0.0,98.0,12.66,Europe and Central Asia (WB),High-income countries,Finland
4084.226,52710.734,19.23,3.383,2.5,85.175,0.0,98.0,12.72,Europe and Central Asia (WB),High-income countries,Finland
4098.8657,52782.49,18.86,3.413,2.5,85.225,0.0,97.0,12.77,Europe and Central Asia (WB),High-income countries,Finland
4213.8076,53984.633,18.76,3.422,2.5,85.275,0.0,92.0,12.83,Europe and Central Asia (WB),High-income countries,Finland
4341.4404,55637.227,19.0,3.489,2.5,85.325,0.0,89.0,12.89,Europe and Central Asia (WB),High-income countries,Finland
4484.3486,56226.336,19.14,3.503,2.5,85.382,0.0,91.0,12.97,Europe and Central Asia (WB),High-income countries,Finland
4531.453,50066.53,9.383,3.209,2.5,79.135,0.0,88.0,10.84,Europe and Central Asia (WB),High-income countries,France
4636.941,50326.566,9.561,3.224,2.5,79.394,0.0,92.0,10.98,Europe and Central Asia (WB),High-income countries,France
4679.5176,50682.895,9.731,3.239,2.5,79.655,0.0,96.0,11.12,Europe and Central Asia (WB),High-income countries,France
4938.5923,50984.074,9.862,3.254,2.5,79.917,0.0,95.0,11.13,Europe and Central Asia (WB),High-income countries,France
5076.906,51895.566,9.951,3.274,2.5,80.18,0.0,95.0,11.21,Europe and Central Asia (WB),High-income countries,France
5227.2925,52560.953,10.06,3.276,2.5,80.444,0.0,95.0,11.325,Europe and Central Asia (WB),High-income countries,France
407.8351,19836.455,,,13.1,87.156,8.431808,79.0,9.386,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
370.70306,20008.99,,,13.3,87.651,7.9973297,70.0,9.638,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
372.77365,20147.71,,,14.1,88.118,7.581993,80.0,9.89,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
424.43378,19988.176,2.449,0.343,15.3,88.559,7.184334,75.0,9.996,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
399.48483,19555.707,2.842,0.658,16.5,88.976,6.8029404,75.0,10.102,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
397.01495,19225.598,2.776,0.624,17.6,89.37,6.4368362,70.0,10.208,Sub-Saharan Africa (WB),Upper-middle-income countries,Gabon
881.6899,14936.844,4.287,5.341,6.6,57.448,3.2455902,94.0,12.715,Europe and Central Asia (WB),Upper-middle-income countries,Georgia
1019.5584,17228.68,5.018,7.555,5.5,58.632,2.8265991,93.0,12.884999,Europe and Central Asia (WB),Upper-middle-income countries,Georgia
4956.3936,58223.65,10.68,3.984,2.5,77.18,0.0,93.0,13.62,Europe and Central Asia (WB),High-income countries,Germany
5197.239,59239.34,10.88,4.064,2.5,77.19,0.0,93.0,13.63,Europe and Central Asia (WB),High-income countries,Germany
5359.7573,59699.34,10.95,4.12,2.5,77.2,0.0,93.0,13.7,Europe and Central Asia (WB),High-income countries,Germany
5697.9683,60578.285,11.15,4.187,2.5,77.224,0.0,91.0,13.77,Europe and Central Asia (WB),High-income countries,Germany
6020.479,61991.496,11.38,4.251,2.5,77.261,0.0,91.0,13.785,Europe and Central Asia (WB),High-income countries,Germany
6341.3755,62495.5,11.81,4.311,2.5,77.312,0.0,91.0,13.8,Europe and Central Asia (WB),High-income countries,Germany
2185.0913,30762.443,3.553,5.84,2.5,77.355,0.020980835,99.0,10.2025,Europe and Central Asia (WB),High-income countries,Greece
2094.4795,31213.377,3.484,5.883,2.5,77.702,0.0017700195,99.0,10.31,Europe and Central Asia (WB),High-income countries,Greece
2192.1907,31347.977,3.453,5.91,2.5,78.046,0.0,99.0,10.5,Europe and Central Asia (WB),High-income countries,Greece
2322.726,31468.62,3.509,6.137,2.5,78.387,0.0,99.0,9.96,Europe and Central Asia (WB),High-income countries,Greece
2324.1304,31995.41,3.591,6.102,2.5,78.724,0.0,99.0,10.245,Europe and Central Asia (WB),High-income countries,Greece
2403.162,32722.33,3.663,6.161,2.5,79.058,0.0,99.0,10.530001,Europe and Central Asia (WB),High-income countries,Greece
495.82858,11005.459,1.227,0.286,14.4,50.68,6.2133713,91.0,4.8370748,Latin America and Caribbean (WB),Upper-middle-income countries,Guatemala
513.9308,11192.372,1.313,0.363,14.1,51.054,5.8353806,85.0,5.0385375,Latin America and Caribbean (WB),Upper-middle-income countries,Guatemala
455.60464,12040.083,0.709,,4.4,26.441,4.181015,95.0,8.068253,Latin America and Caribbean (WB),Upper-middle-income countries,Guyana
458.59805,12420.473,0.744,,3.5,26.482,3.8041077,97.0,8.211965,Latin America and Caribbean (WB),Upper-middle-income countries,Guyana
523.07434,12801.641,0.799,,3.1,26.538,3.4268036,97.0,8.355677,Latin America and Caribbean (WB),Upper-middle-income countries,Guyana
616.7931,12980.357,1.031,1.804,3.0,26.606,3.0493088,95.0,8.499388,Latin America and Caribbean (WB),Upper-middle-income countries,Guyana
1773.0856,28891.021,6.596,3.209,2.5,69.953,0.030029297,99.0,11.89,Europe and Central Asia (WB),Upper-middle-income countries,Hungary
1808.3971,30264.95,6.583,3.323,2.5,70.227,0.02974701,99.0,11.55,Europe and Central Asia (WB),High-income countries,Hungary
1834.4618,31485.568,6.64,3.097,2.5,70.5,0.029472351,99.0,11.64,Europe and Central Asia (WB),High-income countries,Hungary
1949.249,32378.967,6.601,3.211,2.5,70.779,0.029197693,99.0,11.68,Europe and Central Asia (WB),High-income countries,Hungary
1987.2351,33828.715,6.763,3.325,2.5,71.062,0.028907776,99.0,11.785,Europe and Central Asia (WB),High-income countries,Hungary
2098.9607,35798.043,6.867,3.384,2.5,71.351,0.0,99.0,11.89,Europe and Central Asia (WB),High-income countries,Hungary
3651.9973,57707.42,16.26,3.605,2.5,93.633,0.0,91.0,13.185715,Europe and Central Asia (WB),High-income countries,Iceland
3811.8784,58031.86,16.14,3.642,2.5,93.667,0.0,90.0,13.301429,Europe and Central Asia (WB),High-income countries,Iceland
3998.9973,59978.332,16.27,3.772,2.5,93.7,0.0,92.0,13.417143,Europe and Central Asia (WB),High-income countries,Iceland
4359.9463,62880.26,15.0,3.849,2.5,93.735,0.0,91.0,13.532857,Europe and Central Asia (WB),High-income countries,Iceland
4629.746,63999.16,15.29,3.871,2.5,93.773,0.0,89.0,13.648572,Europe and Central Asia (WB),High-income countries,Iceland
4824.6284,65354.26,15.47,3.891,2.5,93.813,0.0,91.0,13.764286,Europe and Central Asia (WB),High-income countries,Iceland
862.7044,13804.791,,,6.8,72.295,1.4879303,98.0,9.92,"Middle East, North Africa, Afghanistan and Pakistan (WB)",Upper-middle-income countries,Iran
